seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	
4.169   	-3.580  	4.903   	-10.193 	-0.000  	1.820   	0.000   	-       	
4.186   	-3.658  	5.096   	-10.260 	-0.000  	1.820   	0.000   	-       	
4.203   	-3.676  	5.267   	-10.260 	-0.000  	1.820   	0.000   	-       	
4.219   	-3.676  	5.456   	-10.260 	-0.000  	1.820   	0.000   	-       	
4.236   	-3.676  	5.570   	-10.260 	-0.000  	1.820   	0.000   	-       	
4.253   	-3.676  	5.666   	-10.260 	-0.000  	1.820   	-0.000  	-       	
4.269   	-3.676  	5.763   	-10.260 	-0.000  	1.820   	-0.000  	-       	
4.286   	-3.676  	5.879   	-10.260 	-0.000  	1.820   	-0.000  	-       	
4.303   	-3.676  	6.076   	-10.260 	-0.000  	1.820   	-0.000  	-       	
4.320   	-3.580  	6.335   	-10.194 	-0.000  	1.820   	-0.000  	-       	
4.336   	-3.525  	6.630   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.353   	-3.381  	6.960   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.369   	-3.327  	7.099   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.386   	-3.238  	7.254   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.403   	-2.585  	6.392   	-8.449  	-0.000  	1.820   	-0.000  	-       	
4.419   	-3.044  	7.547   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.436   	-2.921  	7.703   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.453   	-2.816  	7.819   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.469   	-2.695  	7.934   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.486   	-2.575  	8.050   	-10.294 	-0.000  	1.820   	-0.000  	-       	
4.503   	-2.390  	8.195   	-10.238 	-0.000  	1.820   	-0.000  	-       	
4.520   	-2.178  	8.437   	-10.271 	-0.000  	1.820   	-0.000  	-       	
4.536   	-2.006  	8.437   	-10.085 	-0.000  	1.820   	-0.000  	-       	
4.553   	-1.876  	8.528   	-10.003 	-0.000  	1.820   	-0.000  	-       	
4.569   	-1.681  	8.690   	-10.003 	-0.000  	1.820   	-0.000  	-       	
4.586   	-1.590  	8.751   	-9.935  	-0.000  	1.820   	-0.000  	-       	
4.603   	-1.400  	8.751   	-9.728  	-0.000  	1.820   	-0.000  	-       	
4.620   	-1.178  	8.709   	-9.440  	-0.000  	1.820   	-0.000  	-       	
4.636   	-0.980  	8.751   	-9.270  	-0.000  	1.820   	-0.000  	-       	
4.653   	-0.784  	8.751   	-9.048  	-0.000  	1.820   	-0.000  	-       	
4.670   	-0.597  	8.751   	-8.828  	-0.000  	1.820   	-0.000  	-       	
4.686   	-0.464  	8.751   	-8.667  	-0.000  	1.820   	-0.000  	-       	
4.703   	-0.320  	8.751   	-8.480  	-0.000  	1.820   	-0.000  	-       	
4.720   	-0.157  	8.195   	-7.655  	-0.000  	1.820   	-0.000  	-       	
4.737   	0.012   	8.195   	-7.440  	-0.000  	1.820   	-0.000  	-       	
4.753   	0.176   	8.437   	-7.456  	-0.000  	1.820   	-0.000  	-       	
4.770   	0.209   	6.318   	-4.939  	-0.000  	1.820   	-0.000  	-       	
4.786   	0.299   	6.367   	-4.879  	-0.000  	1.820   	-0.000  	-       	
4.803   	0.611   	8.658   	-7.187  	0.000   	1.820   	-0.000  	-       	
4.820   	0.656   	8.726   	-7.187  	0.000   	1.820   	-0.000  	-       	
4.836   	0.729   	8.751   	-7.115  	0.000   	1.820   	-0.000  	-       	
4.853   	0.813   	8.751   	-7.061  	0.000   	1.820   	-0.000  	-       	
4.870   	0.868   	8.751   	-7.054  	0.000   	1.820   	-0.000  	-       	
4.886   	0.929   	8.751   	-7.001  	0.000   	1.820   	-0.000  	-       	
4.903   	1.011   	8.751   	-6.945  	0.000   	1.820   	-0.000  	-       	
4.920   	1.138   	8.751   	-6.903  	0.000   	1.820   	-0.000  	-       	
4.937   	1.253   	8.751   	-6.861  	0.000   	1.820   	-0.000  	-       	
4.953   	1.446   	8.751   	-6.823  	0.000   	1.820   	-0.000  	-       	
4.970   	1.564   	8.751   	-6.797  	0.000   	1.820   	-0.000  	-       	
4.986   	1.649   	8.751   	-6.777  	0.000   	1.820   	-0.000  	-       	
5.003   	1.713   	8.751   	-6.761  	0.000   	1.820   	-0.000  	-       	
